Source,tag,len_chaines,langue,niveau
NORM-EC-CE1-2015-102-D1-S212-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-102-D1-S212-V1.csv,wolf,5,français,CE1
NORM-EC-CE1-2015-102-D1-S217-V1.csv,robot,7,français,CE1
NORM-EC-CE1-2015-102-D1-S217-V1.csv,robot+wolf,3,français,CE1
NORM-EC-CE1-2015-104-D1-S824-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-104-D1-S824-V1.csv,cat+robot,11,français,CE1
NORM-EC-CE1-2015-104-D1-S824-V1.csv,robot,7,français,CE1
NORM-EC-CE1-2015-104-D1-S841-V1.csv,cat,9,français,CE1
NORM-EC-CE1-2015-104-D1-S841-V1.csv,ext1,15,français,CE1
NORM-EC-CE1-2015-104-D1-S841-V1.csv,witch,16,français,CE1
NORM-EC-CE1-2015-108-D1-S2977-V1.csv,cat,3,français,CE1
NORM-EC-CE1-2015-108-D1-S2977-V1.csv,cat+ext1,5,français,CE1
NORM-EC-CE1-2015-108-D1-S2977-V1.csv,ext1,5,français,CE1
NORM-EC-CE1-2015-108-D1-S2977-V1.csv,robot,5,français,CE1
NORM-EC-CE1-2015-108-D1-S2983-V1.csv,cat,13,français,CE1
NORM-EC-CE1-2015-108-D1-S2983-V1.csv,wolf,4,français,CE1
NORM-EC-CE1-2015-108-D1-S2984-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-108-D1-S2984-V1.csv,cat+ext1+ext2,6,français,CE1
NORM-EC-CE1-2015-108-D1-S2986-V1.csv,cat,14,français,CE1
NORM-EC-CE1-2015-108-D1-S2986-V1.csv,witch,11,français,CE1
NORM-EC-CE1-2015-115-D1-S1337-V1.csv,cat,3,français,CE1
NORM-EC-CE1-2015-115-D1-S1339-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-115-D1-S1355-V1.csv,cat,3,français,CE1
NORM-EC-CE1-2015-117-D1-S3012-V1.csv,cat,9,français,CE1
NORM-EC-CE1-2015-117-D1-S3012-V1.csv,witch,10,français,CE1
NORM-EC-CE1-2015-120-D1-S2449-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-120-D1-S2449-V1.csv,ext1,9,français,CE1
NORM-EC-CE1-2015-126-D1-S1829-V1.csv,cat,19,français,CE1
NORM-EC-CE1-2015-126-D1-S1829-V1.csv,wolf,14,français,CE1
NORM-EC-CE1-2015-126-D1-S1830-V1.csv,cat,12,français,CE1
NORM-EC-CE1-2015-126-D1-S1830-V1.csv,witch,8,français,CE1
NORM-EC-CE1-2015-126-D1-S1850-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-126-D1-S1850-V1.csv,witch,10,français,CE1
NORM-EC-CE1-2015-130-D1-S1125-V1.csv,cat,22,français,CE1
NORM-EC-CE1-2015-130-D1-S1125-V1.csv,cat2,5,français,CE1
NORM-EC-CE1-2015-130-D1-S1125-V1.csv,ext1,3,français,CE1
NORM-EC-CE1-2015-130-D1-S1125-V1.csv,wolf,9,français,CE1
NORM-EC-CE1-2015-130-D1-S2530-V1.csv,cat,9,français,CE1
NORM-EC-CE1-2015-130-D1-S2530-V1.csv,cat+witch,5,français,CE1
NORM-EC-CE1-2015-130-D1-S2530-V1.csv,witch,5,français,CE1
NORM-EC-CE1-2015-14-D1-S1317-V1.csv,ext1,7,français,CE1
NORM-EC-CE1-2015-14-D1-S1317-V1.csv,witch,22,français,CE1
NORM-EC-CE1-2015-14-D1-S1317-V1.csv,wolf,12,français,CE1
NORM-EC-CE1-2015-14-D1-S1324-V1.csv,witch,9,français,CE1
NORM-EC-CE1-2015-14-D1-S1324-V1.csv,wolf,3,français,CE1
NORM-EC-CE1-2015-14-D1-S1325-V1.csv,cat,3,français,CE1
NORM-EC-CE1-2015-14-D1-S1325-V1.csv,witch,4,français,CE1
NORM-EC-CE1-2015-14-D1-S1518-V1.csv,cat,9,français,CE1
NORM-EC-CE1-2015-14-D1-S1518-V1.csv,witch,4,français,CE1
NORM-EC-CE1-2015-17-D1-S569-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-17-D1-S573-V1.csv,robot,5,français,CE1
NORM-EC-CE1-2015-17-D1-S584-V1.csv,cat,11,français,CE1
NORM-EC-CE1-2015-17-D1-S584-V1.csv,wolf,9,français,CE1
NORM-EC-CE1-2015-20-D1-S100-V1.csv,cat,5,français,CE1
NORM-EC-CE1-2015-20-D1-S100-V1.csv,robot,4,français,CE1
NORM-EC-CE1-2015-20-D1-S102-V1.csv,robot,7,français,CE1
NORM-EC-CE1-2015-20-D1-S102-V1.csv,witch,8,français,CE1
NORM-EC-CE1-2015-20-D1-S114-V1.csv,cat,8,français,CE1
NORM-EC-CE1-2015-20-D1-S114-V1.csv,ext1,9,français,CE1
NORM-EC-CE1-2015-20-D1-S114-V1.csv,ext2,6,français,CE1
NORM-EC-CE1-2015-20-D1-S114-V1.csv,witch,8,français,CE1
NORM-EC-CE1-2015-20-D1-S560-V1.csv,ext1+ext2+ext3,3,français,CE1
NORM-EC-CE1-2015-20-D1-S560-V1.csv,wolf,5,français,CE1
NORM-EC-CE1-2015-20-D1-S93-V1.csv,cat,30,français,CE1
NORM-EC-CE1-2015-20-D1-S93-V1.csv,cat1,4,français,CE1
NORM-EC-CE1-2015-20-D1-S93-V1.csv,cat2,3,français,CE1
NORM-EC-CE1-2015-20-D1-S93-V1.csv,ext1,6,français,CE1
NORM-EC-CE1-2015-34-D1-S1188-V1.csv,cat+ext1,5,français,CE1
NORM-EC-CE1-2015-34-D1-S1190-V1.csv,cat,4,français,CE1
NORM-EC-CE1-2015-34-D1-S1190-V1.csv,cat1+cat2+cat3,3,français,CE1
NORM-EC-CE1-2015-34-D1-S1190-V1.csv,witch,4,français,CE1
NORM-EC-CE1-2015-34-D1-S1197-V1.csv,witch,7,français,CE1
NORM-EC-CE1-2015-34-D1-S1197-V1.csv,wolf,4,français,CE1
NORM-EC-CE1-2015-37-D1-S1531-V1.csv,cat,8,français,CE1
NORM-EC-CE1-2015-37-D1-S1554-V1.csv,cat,6,français,CE1
NORM-EC-CE1-2015-37-D1-S1554-V1.csv,cat1,3,français,CE1
NORM-EC-CE1-2015-37-D1-S1554-V1.csv,cat1+cat2+cat3,3,français,CE1
NORM-EC-CE1-2015-37-D1-S1554-V1.csv,cat2,3,français,CE1
NORM-EC-CE1-2015-37-D1-S1561-V1.csv,ext1,9,français,CE1
NORM-EC-CE1-2015-37-D1-S1561-V1.csv,witch,7,français,CE1
NORM-EC-CE1-2015-45-D1-S493-V1.csv,cat,13,français,CE1
NORM-EC-CE1-2015-45-D1-S493-V1.csv,witch,8,français,CE1
NORM-EC-CE1-2015-47-D1-S2938-V1.csv,cat,14,français,CE1
