Source,tag,len_chaines,langue,niveau
NORM_CE1_11.csv,cat,10,italien,CE1
NORM_CE1_11.csv,witch,10,italien,CE1
NORM_CE1_1376.csv,robot,8,italien,CE1
NORM_CE1_1376.csv,witch,5,italien,CE1
NORM_CE1_1380.csv,cat,6,italien,CE1
NORM_CE1_1380.csv,witch,4,italien,CE1
NORM_CE1_1470.csv,witch,9,italien,CE1
NORM_CE1_1470.csv,wolf,14,italien,CE1
NORM_CE1_1471.csv,ext1+wolf,3,italien,CE1
NORM_CE1_1471.csv,wolf,5,italien,CE1
NORM_CE1_1493.csv,ext1,15,italien,CE1
NORM_CE1_1493.csv,ext2,6,italien,CE1
NORM_CE1_1493.csv,ext3,3,italien,CE1
NORM_CE1_1493.csv,witch,10,italien,CE1
NORM_CE1_1493.csv,witch+wolf,15,italien,CE1
NORM_CE1_1493.csv,wolf,12,italien,CE1
NORM_CE1_1495.csv,cat,5,italien,CE1
NORM_CE1_1495.csv,cat+witch,3,italien,CE1
NORM_CE1_1495.csv,witch,9,italien,CE1
NORM_CE1_15.csv,cat,22,italien,CE1
NORM_CE1_15.csv,cat2,5,italien,CE1
NORM_CE1_15.csv,witch,23,italien,CE1
NORM_CE1_155.csv,cat,16,italien,CE1
NORM_CE1_155.csv,ext1,16,italien,CE1
NORM_CE1_162.csv,robot,3,italien,CE1
NORM_CE1_162.csv,wolf,9,italien,CE1
NORM_CE1_182.csv,cat,20,italien,CE1
NORM_CE1_182.csv,robot,15,italien,CE1
NORM_CE1_185.csv,cat,15,italien,CE1
NORM_CE1_185.csv,witch,20,italien,CE1
NORM_CE1_186.csv,cat,16,italien,CE1
NORM_CE1_186.csv,witch,7,italien,CE1
NORM_CE1_200.csv,cat,11,italien,CE1
NORM_CE1_200.csv,cat+robot,3,italien,CE1
NORM_CE1_200.csv,robot,9,italien,CE1
NORM_CE1_210.csv,cat,17,italien,CE1
NORM_CE1_210.csv,witch,14,italien,CE1
NORM_CE1_212.csv,robot,27,italien,CE1
NORM_CE1_217.csv,cat,9,italien,CE1
NORM_CE1_217.csv,wolf,3,italien,CE1
NORM_CE1_275.csv,cat,11,italien,CE1
NORM_CE1_275.csv,robot,3,italien,CE1
NORM_CE1_275.csv,witch,3,italien,CE1
NORM_CE1_275.csv,wolf,13,italien,CE1
NORM_CE1_279.csv,cat,12,italien,CE1
NORM_CE1_279.csv,wolf,9,italien,CE1
NORM_CE1_28.csv,cat,18,italien,CE1
NORM_CE1_28.csv,witch,14,italien,CE1
NORM_CE1_284.csv,ext1,4,italien,CE1
NORM_CE1_284.csv,robot,11,italien,CE1
NORM_CE1_284.csv,robot1,12,italien,CE1
NORM_CE1_284.csv,witch,10,italien,CE1
NORM_CE1_285.csv,robot,16,italien,CE1
NORM_CE1_285.csv,witch,17,italien,CE1
NORM_CE1_295.csv,cat,12,italien,CE1
NORM_CE1_295.csv,robot,3,italien,CE1
NORM_CE1_295.csv,witch,13,italien,CE1
NORM_CE1_297.csv,cat,19,italien,CE1
NORM_CE1_297.csv,ext1,3,italien,CE1
NORM_CE1_297.csv,ext2,5,italien,CE1
NORM_CE1_297.csv,witch,8,italien,CE1
NORM_CE1_297.csv,wolf,10,italien,CE1
NORM_CE1_307.csv,cat,7,italien,CE1
NORM_CE1_307.csv,witch,15,italien,CE1
NORM_CE1_308.csv,robot,4,italien,CE1
NORM_CE1_308.csv,witch,4,italien,CE1
NORM_CE1_31.csv,cat,10,italien,CE1
NORM_CE1_31.csv,ext1,6,italien,CE1
NORM_CE1_319.csv,ext2,9,italien,CE1
NORM_CE1_319.csv,ext3,4,italien,CE1
NORM_CE1_319.csv,witch,43,italien,CE1
NORM_CE1_319.csv,wolf,58,italien,CE1
NORM_CE1_325.csv,cat,8,italien,CE1
NORM_CE1_325.csv,robot,7,italien,CE1
NORM_CE1_327.csv,ext1,3,italien,CE1
NORM_CE1_327.csv,witch,13,italien,CE1
NORM_CE1_327.csv,wolf,22,italien,CE1
NORM_CE1_34.csv,cat,5,italien,CE1
NORM_CE1_34.csv,cat1,5,italien,CE1
NORM_CE1_34.csv,ext1,5,italien,CE1
NORM_CE1_34.csv,witch,8,italien,CE1
NORM_CE1_349.csv,ext1+witch,7,italien,CE1
NORM_CE1_349.csv,witch,21,italien,CE1
NORM_CE1_349.csv,wolf,7,italien,CE1
NORM_CE1_357.csv,cat,18,italien,CE1
NORM_CE1_357.csv,cat+cat1,6,italien,CE1
NORM_CE1_357.csv,cat1,3,italien,CE1
NORM_CE1_357.csv,ext1,3,italien,CE1
NORM_CE1_357.csv,ext2,3,italien,CE1
NORM_CE1_357.csv,ext4,5,italien,CE1
NORM_CE1_360.csv,cat,8,italien,CE1
NORM_CE1_360.csv,cat1,5,italien,CE1
NORM_CE1_360.csv,robot,3,italien,CE1
NORM_CE1_360.csv,witch,14,italien,CE1
NORM_CE1_386.csv,cat,26,italien,CE1
NORM_CE1_386.csv,cat+robot,4,italien,CE1
NORM_CE1_386.csv,ext1,8,italien,CE1
NORM_CE1_386.csv,robot,13,italien,CE1
NORM_CE1_394.csv,cat,9,italien,CE1
NORM_CE1_394.csv,ext1,3,italien,CE1
NORM_CE1_394.csv,wolf,14,italien,CE1
NORM_CE1_396.csv,cat,18,italien,CE1
NORM_CE1_396.csv,cat1,4,italien,CE1
NORM_CE1_396.csv,cat1+cat2+cat3,5,italien,CE1
NORM_CE1_396.csv,cat2,5,italien,CE1
NORM_CE1_396.csv,cat3,4,italien,CE1
NORM_CE1_396.csv,wolf,7,italien,CE1
NORM_CE1_398.csv,cat,11,italien,CE1
NORM_CE1_398.csv,cat+wolf,5,italien,CE1
NORM_CE1_398.csv,wolf,7,italien,CE1
NORM_CE1_405.csv,cat,21,italien,CE1
NORM_CE1_405.csv,cat+wolf,4,italien,CE1
NORM_CE1_405.csv,wolf,11,italien,CE1
NORM_CE1_414.csv,cat,4,italien,CE1
NORM_CE1_414.csv,robot,7,italien,CE1
NORM_CE1_424.csv,cat,20,italien,CE1
NORM_CE1_424.csv,witch,6,italien,CE1
NORM_CE1_432.csv,robot,6,italien,CE1
NORM_CE1_432.csv,wolf,5,italien,CE1
NORM_CE1_451.csv,cat,8,italien,CE1
NORM_CE1_451.csv,ext1,3,italien,CE1
NORM_CE1_451.csv,ext3,3,italien,CE1
NORM_CE1_451.csv,witch,27,italien,CE1
NORM_CE1_525.csv,cat,7,italien,CE1
NORM_CE1_525.csv,robot,19,italien,CE1
NORM_CE1_525.csv,robot1,4,italien,CE1
NORM_CE1_533.csv,cat,9,italien,CE1
NORM_CE1_533.csv,ext2,3,italien,CE1
NORM_CE1_533.csv,witch,24,italien,CE1
NORM_CE1_534.csv,cat,9,italien,CE1
NORM_CE1_534.csv,witch,10,italien,CE1
NORM_CE1_536.csv,cat,23,italien,CE1
NORM_CE1_536.csv,cat+witch,3,italien,CE1
NORM_CE1_536.csv,witch,23,italien,CE1
NORM_CE1_540.csv,cat,3,italien,CE1
NORM_CE1_540.csv,cat+witch,6,italien,CE1
NORM_CE1_540.csv,robot,14,italien,CE1
NORM_CE1_540.csv,witch,3,italien,CE1
NORM_CE1_544.csv,robot,4,italien,CE1
NORM_CE1_544.csv,witch,8,italien,CE1
NORM_CE1_546.csv,ext1,5,italien,CE1
NORM_CE1_546.csv,ext2,4,italien,CE1
NORM_CE1_546.csv,robot,10,italien,CE1
NORM_CE1_585.csv,cat,8,italien,CE1
NORM_CE1_585.csv,cat1,5,italien,CE1
NORM_CE1_585.csv,ext1+wolf,5,italien,CE1
NORM_CE1_585.csv,wolf,5,italien,CE1
NORM_CE1_599.csv,cat,15,italien,CE1
NORM_CE1_602.csv,cat,10,italien,CE1
NORM_CE1_602.csv,witch,8,italien,CE1
NORM_CE1_611.csv,cat,11,italien,CE1
NORM_CE1_611.csv,witch,8,italien,CE1
NORM_CE1_627.csv,cat,10,italien,CE1
NORM_CE1_629.csv,robot,8,italien,CE1
NORM_CE1_629.csv,wolf,5,italien,CE1
NORM_CE1_63.csv,cat,10,italien,CE1
NORM_CE1_63.csv,cat+robot,10,italien,CE1
NORM_CE1_63.csv,robot,13,italien,CE1
NORM_CE1_65.csv,cat,9,italien,CE1
NORM_CE1_65.csv,cat+witch,4,italien,CE1
NORM_CE1_65.csv,witch,10,italien,CE1
NORM_CE1_653.csv,ext1,4,italien,CE1
NORM_CE1_653.csv,wolf,7,italien,CE1
NORM_CE1_673.csv,cat,3,italien,CE1
NORM_CE1_673.csv,cat1,5,italien,CE1
NORM_CE1_673.csv,wolf,4,italien,CE1
NORM_CE1_68.csv,robot+wolf,5,italien,CE1
NORM_CE1_68.csv,wolf,3,italien,CE1
NORM_CE1_698.csv,cat,11,italien,CE1
NORM_CE1_698.csv,witch,11,italien,CE1
NORM_CE1_707.csv,cat,11,italien,CE1
NORM_CE1_707.csv,ext1,13,italien,CE1
NORM_CE1_710.csv,cat,8,italien,CE1
NORM_CE1_710.csv,witch,16,italien,CE1
NORM_CE1_728.csv,robot,6,italien,CE1
NORM_CE1_728.csv,robot1,6,italien,CE1
NORM_CE1_736.csv,cat,6,italien,CE1
NORM_CE1_736.csv,ext1,7,italien,CE1
NORM_CE1_739.csv,cat,12,italien,CE1
NORM_CE1_74.csv,cat,6,italien,CE1
NORM_CE1_75.csv,cat,8,italien,CE1
NORM_CE1_75.csv,ext1,5,italien,CE1
NORM_CE1_75.csv,witch,7,italien,CE1
NORM_CE1_78.csv,cat,22,italien,CE1
NORM_CE1_78.csv,cat+witch,8,italien,CE1
NORM_CE1_78.csv,witch,13,italien,CE1
NORM_CE1_8.csv,cat,10,italien,CE1
NORM_CE1_8.csv,ext1,6,italien,CE1
NORM_CE1_8.csv,robot,9,italien,CE1
NORM_CE1_81.csv,cat,4,italien,CE1
NORM_CE1_81.csv,witch,6,italien,CE1
NORM_CE1_84.csv,cat,6,italien,CE1
NORM_CE1_84.csv,robot,12,italien,CE1
NORM_CE1_91.csv,witch,12,italien,CE1
NORM_CE2_1098.csv,ext1,9,italien,CE2
NORM_CE2_1098.csv,witch,5,italien,CE2
NORM_CE2_1099.csv,cat,4,italien,CE2
NORM_CE2_1099.csv,cat+ext2,3,italien,CE2
NORM_CE2_1099.csv,ext1,12,italien,CE2
NORM_CE2_1099.csv,ext1+witch,19,italien,CE2
NORM_CE2_1099.csv,ext2,3,italien,CE2
NORM_CE2_1099.csv,robot,10,italien,CE2
NORM_CE2_1099.csv,witch,16,italien,CE2
NORM_CE2_1100.csv,cat,16,italien,CE2
NORM_CE2_1100.csv,cat+ext1,3,italien,CE2
NORM_CE2_1100.csv,ext1,21,italien,CE2
NORM_CE2_1101.csv,ext1,14,italien,CE2
NORM_CE2_1101.csv,ext4,4,italien,CE2
NORM_CE2_1102.csv,cat,32,italien,CE2
NORM_CE2_1102.csv,robot,8,italien,CE2
NORM_CE2_1102.csv,witch,22,italien,CE2
NORM_CE2_1103.csv,cat,31,italien,CE2
NORM_CE2_1103.csv,ext1,9,italien,CE2
NORM_CE2_1103.csv,witch,32,italien,CE2
NORM_CE2_1104.csv,ext1+ext2,3,italien,CE2
NORM_CE2_1104.csv,ext3,12,italien,CE2
NORM_CE2_1104.csv,ext4,4,italien,CE2
NORM_CE2_1104.csv,robot,3,italien,CE2
NORM_CE2_1106.csv,ext1,9,italien,CE2
NORM_CE2_1106.csv,ext2,15,italien,CE2
NORM_CE2_1106.csv,robot,22,italien,CE2
NORM_CE2_1107.csv,cat,4,italien,CE2
NORM_CE2_1107.csv,ext2,24,italien,CE2
NORM_CE2_1107.csv,ext2+ext4,3,italien,CE2
NORM_CE2_1107.csv,ext3,16,italien,CE2
NORM_CE2_1107.csv,ext4,7,italien,CE2
NORM_CE2_1107.csv,ext5,3,italien,CE2
NORM_CE2_1107.csv,wolf,3,italien,CE2
NORM_CE2_1108.csv,cat,10,italien,CE2
NORM_CE2_1108.csv,ext1+ext2,17,italien,CE2
NORM_CE2_1108.csv,ext3+ext4,3,italien,CE2
NORM_CE2_1108.csv,witch,7,italien,CE2
NORM_CE2_1427.csv,cat,9,italien,CE2
NORM_CE2_1427.csv,witch,9,italien,CE2
NORM_CE2_1428.csv,cat,23,italien,CE2
NORM_CE2_1428.csv,wolf,27,italien,CE2
NORM_CE2_1429.csv,cat,14,italien,CE2
NORM_CE2_1429.csv,ext3,6,italien,CE2
NORM_CE2_1429.csv,ext3+ext4,12,italien,CE2
NORM_CE2_1429.csv,ext4,7,italien,CE2
NORM_CE2_1429.csv,ext5,3,italien,CE2
NORM_CE2_1429.csv,ext6,3,italien,CE2
NORM_CE2_1429.csv,witch,24,italien,CE2
NORM_CE2_1430.csv,cat,17,italien,CE2
NORM_CE2_1430.csv,ext1,11,italien,CE2
NORM_CE2_1430.csv,wolf,16,italien,CE2
NORM_CE2_1432.csv,cat,12,italien,CE2
NORM_CE2_1432.csv,robot,4,italien,CE2
NORM_CE2_1432.csv,witch,13,italien,CE2
NORM_CE2_1432.csv,wolf,22,italien,CE2
NORM_CE2_1433.csv,cat,14,italien,CE2
NORM_CE2_1433.csv,witch,28,italien,CE2
NORM_CE2_1434.csv,cat,20,italien,CE2
NORM_CE2_1434.csv,ext1,3,italien,CE2
NORM_CE2_1434.csv,wolf,8,italien,CE2
NORM_CE2_1436.csv,robot,15,italien,CE2
NORM_CE2_1436.csv,wolf,17,italien,CE2
NORM_CE2_1437.csv,ext2,4,italien,CE2
NORM_CE2_1437.csv,robot,14,italien,CE2
NORM_CE2_1437.csv,witch,17,italien,CE2
NORM_CE2_1438.csv,witch,17,italien,CE2
NORM_CE2_1438.csv,wolf,19,italien,CE2
NORM_CE2_1440.csv,cat,4,italien,CE2
NORM_CE2_1440.csv,cat+robot,12,italien,CE2
NORM_CE2_1440.csv,robot,5,italien,CE2
NORM_CE2_1440.csv,wolf,4,italien,CE2
NORM_CE2_1441.csv,cat,10,italien,CE2
NORM_CE2_1441.csv,cat+cat1,6,italien,CE2
NORM_CE2_1441.csv,cat1,4,italien,CE2
NORM_CE2_1441.csv,wolf,13,italien,CE2
NORM_CE2_1441.csv,wolf1,7,italien,CE2
NORM_CE2_1442.csv,ext1,12,italien,CE2
NORM_CE2_1442.csv,ext2,3,italien,CE2
NORM_CE2_1442.csv,witch,11,italien,CE2
NORM_CE2_1442.csv,wolf,17,italien,CE2
NORM_CE2_1444.csv,ext1,8,italien,CE2
NORM_CE2_1444.csv,robot,12,italien,CE2
NORM_CE2_1444.csv,witch,17,italien,CE2
NORM_CE2_1515.csv,cat,21,italien,CE2
NORM_CE2_1515.csv,robot,18,italien,CE2
NORM_CE2_1516.csv,witch,6,italien,CE2
